Asin,Title,Price,Sold by,Review Count,Rating,Date
B09S9VQP7V,"ASUS ROG Strix G513RW 15.6 Full HD 300Hz Gaming Laptop (AMD Ryzen 7-6800HS, Nvidia GeForce RTX 3070Ti, 16GB RAM, 1TB SSD, Windows 11)",1498.99,Amazon,4,4.5,11 Feb. 2022
B0BF3VSGL9,"Tablet 10.1 Inch TECLAST M40 Air Android 11, 5G WiFi, 8GB RAM 128GB ROM (TF 1TB), Dual 4G SIM/SD, Bluetooth 5.1, 2.0 GHz Octa Core, FHD 1920x1200 IPS, GPS/OTG/Type-C/5+8MP Camera/6000mAh Battery",159.99,Hooya-S,107,4.4,13 Sept. 2022
B0B64CP6QT,"Dell Latitude 3520 15.6 Inch FHD Business Laptop, Intel Core i5-1135G7, 8GB RAM, 256 GB SSD, Windows 11 Pro, Grey",772.53,Amazon,1,5,8-Jul-22
B08L559LJP,"MEDION ERAZER Deputy P25 AMD Ryzen 7-5800H 16 GB 512 GB FHD 15.6 FHD 144 Hz NVIDIA GeForce RTX 3060 Gaming Laptop Bundle - Laptop, Mouse And Mousepad, Black, 30035121",1149.99,Amazon,0,0,5 Oct. 2022
B09GKLC5K4,"ASUS Vivobook Pro OLED M3401QA 14 Inch 2.8K 16:10 Laptop (AMD Ryzen 7-5800H, 16 GB RAM, 512 GB SSD, Backlit Keyboard, Windows 11)",696.99,Amazon Warehouse,33,4,17 Sept. 2021
B08Y6VJCFQ,"Laptop 12.5Inch Windows10 Apollo N3350 Dual Core HD Graphics Ultra Thin Computer PC,4GB RAM 64GB Storage USB 3.0 WiFi Bluetooth HDMI IPS Display Notebook (Black)",199.99,Honlin,5,3.4,2-May-21
B0B5XQ6YY2,"Lenovo Ideapad 3 14ADA6 14 Inch FHD Cloudbook Laptop - (AMD Ryzen 5 3500U, 8GB RAM, 256GB SSD, Windows 10S) - Abyss Blue",449.99,Amazon,418,4.5,6-Jul-22
B09TFF3NL7,"ASUS Zenbook 14X OLED Space Edition 14 2.8K Touchscreen Laptop (Intel i7-12700H, 16GB RAM, 1TB PCIe SSD, Backlit Keyboard, Windows 11) Inclues Stylus Pen & Sleeve",1099,Amazon,7,4.8,25 Feb. 2022
B0B1VVD95S,"Acer Nitro 5 AN515-46 15.6 inch Gaming Laptop - (AMD Ryzen 7 6800H, 16GB, 512GB SSD, NVIDIA GeForce RTX 3050Ti, Full HD 165Hz, Windows 11, Black)",849,Amazon,286,4.2,20-May-22
B08SMC8Q3V,"2021 15.6-inch laptop 8G + 256G celeron J3455 high-performance quad-core CPU, 2PCS 4500mAh can work continuously for 6-8 hours, WIFI, HDMI, Bluetooth 4.0, Windows 10 (Silver 8G+256G)",188,JAFFUK,24,2.9,11 Jan. 2021
B09R1CV6C2,"ASUS ROG Strix G513IE 144Hz Full HD 15.6 Gaming Laptop (AMD Ryzen 7-4700H, NVIDIA GeForce RTX 3050Ti, 16 GB RAM, 512 GB SSD, Windows 10)",899,Amazon,10,5,24 Jan. 2022
B08HJ2XGP2,"Microsoft Surface Laptop Go Ultra-Thin 12.4 Touchscreen Laptop (Platinum) - Intel 10th Gen Quad Core i5, 8GB RAM, 256GB SSD, Windows 10 Home in S Mode, 2020 Edition",500.88,Amazon Warehouse,24,4.1,1 Oct. 2020
B09SZCMQCL,Lenovo V14 Gen 2 Ryzen 5-5500U 8GB 256GB SSD 14 Inch Full HD Windows 11 Pro Laptop,524.87,Amazon,2,3.5,21 Feb. 2022
B08M77QPBR,"iOTA Flo 360 Touchscreen Laptop 11.6-inch HD Display with 1 Year Microsoft 365 Included, 4GB RAM, 64GB eMMC Storage, Intel Celeron Processor, Windows 11 (S mode), Convertible Laptop PC",199.99,Amazon,841,4.2,17 Jan. 2021
B09K4GRDRL,Dynabook Toshiba | Satellite Pro C40-G-109 | 14 Non-reflective HD | Laptop | Celeron 5205U | 4GB | 128GB SSD | Win10 Pro,177.98,Laptop Outlet UK,120,4.4,22 Oct. 2021
